,title,phone number,website,zip code,Address,link to yelp pages,reviews,rating
47,PURE 710SF,(415) 654-5275,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.pure710sf.com&website_link_type=website&src_bizid=VjMQCR5YmhaORH0sCyGB8A&cachebuster=1594236940&s=566b9b5c9125c67d860bdfdfc28808404349c3e6ebaf3c063ea2f713314784de,[3],"49 Kearny StFl 3San Francisco, CA 94108b/t Post St & Maiden LnUnion Square, Financial DistrictServing San Francisco Area",https://www.yelp.com//biz/pure-710sf-san-francisco-2?osq=Cbd+Stores,41 reviews,not available
48,not available,not available,not available,not available,not available,https://www.yelp.com//biz/urban-pharm-san-francisco?osq=Cbd+Stores,not available,not available
49,Foggy Daze Delivery Service,(415) 200-7451,https://www.yelp.com//biz_redir?url=http%3A%2F%2Ffoggydazedelivery.com&website_link_type=website&src_bizid=mOanZdaJQu4pBKAJShtHrA&cachebuster=1594236946&s=da9a428a3aebac8c56f2b694559c6f732db1583571419e8e480d382c27a8364b,[289],"2261 Market StSte 289San Francisco, CA 94114b/t Sanchez St & 16th StCastroServing San Francisco Area",https://www.yelp.com//biz/foggy-daze-delivery-service-san-francisco?osq=Cbd+Stores,130 reviews,not available
50,South City Tobacco and Vape,Get Directions,not available,[94080],"338 Grand AveSouth San Francisco, CA 94080",https://www.yelp.com//biz/south-city-tobacco-and-vape-south-san-francisco-2?osq=Cbd+Stores,16 reviews,not available
51,The Phog Center,(844) 504-8771,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.phogcenter.com&website_link_type=website&src_bizid=S6UEvwlr5vdWP1BRbXWxxQ&cachebuster=1594236955&s=30a9647138b6c5a06515ed954250f5c2053532e4dd18a398aad53875964453aa,[94044],"2270 Palmetto AvePacifica, CA 94044Serving Pacifica Area",https://www.yelp.com//biz/the-phog-center-pacifica?osq=Cbd+Stores,35 reviews,4.5 star rating
52,not available,not available,not available,not available,not available,https://www.yelp.com//biz/ashbury-tobacco-center-san-francisco?osq=Cbd+Stores,not available,not available
53,Earthly Nutrition,(510) 841-1798,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.earthlynutrition.com%2F&website_link_type=website&src_bizid=gnOlkTZqoCDl9hQALuNVDw&cachebuster=1594236961&s=0ca7a16b32f8594a31a9a814900fcc2594bd042b39a7c0380246b86fc6c862f8,[4],"1400 Shattuck AveSte 4Berkeley, CA 94709at Rose StNorth Berkeley, Gourmet Ghetto",https://www.yelp.com//biz/earthly-nutrition-berkeley?osq=Cbd+Stores,18 reviews,4.5 star rating
54,not available,not available,not available,not available,not available,https://www.yelp.com//adredir?ad_business_id=YISILql5HccHgqUr3FgYzg&campaign_id=OFt870P_bi6jNtIioortFA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ffairhempfx-fairfax&request_id=a63a14397a6acee1&signature=78cd2bc34841e519b2e30a546cfb39ce9c315700ad948f1b7a62552e7151ec5a&slot=0,not available,not available
55,not available,not available,not available,not available,not available,https://www.yelp.com//biz/patients-care-collective-berkeley-2?osq=Cbd+Stores,not available,not available
56,not available,not available,not available,not available,not available,https://www.yelp.com//biz/stiiizy-san-francisco-2?osq=Cbd+Stores,not available,not available
57,Farmhouse Artisan Market,(707) 238-2194,https://www.yelp.com//biz_redir?url=http%3A%2F%2Ffarmhouse.delivery&website_link_type=website&src_bizid=zWWGLyfoJODKIU0ObZMilA&cachebuster=1594236968&s=771385b153d2681bb1ba0fd1609c63875b633839d741af57a2fa067a8602d7a6,not available,"Sonoma County, CA 94954Serving Sonoma County Area",https://www.yelp.com//biz/farmhouse-artisan-market-sonoma-county?osq=Cbd+Stores,18 reviews,not available
58,Vapor Room,(415) 626-2100,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fvaporroom.com&website_link_type=website&src_bizid=SAHY51SloVOWpP50TdO0lg&cachebuster=1594236974&s=db71627bda17e77fd3bcc059b6cbf42074154a9e09c13590fc6cc4777a65df14,[94103],"79 9th StSan Francisco, CA 94103b/t Jessie St & Mission StSoMaServing San Francisco Area",https://www.yelp.com//biz/vapor-room-san-francisco?osq=Cbd+Stores,131 reviews,4.5 star rating
59,Elevated San Francisco,(415) 825-5123,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.elevatedsf.com&website_link_type=website&src_bizid=-NcHOu04yoc9UKZw8hXDsA&cachebuster=1594236979&s=1c055680dd679c00e4c4a0085bff3a0233d01d4dc36bb73d088f3a55890f26be,[94134],"2442 Bayshore BlvdSan Francisco, CA 94134Visitacion ValleyServing San Francisco Area",https://www.yelp.com//biz/elevated-san-francisco-san-francisco?osq=Cbd+Stores,48 reviews,not available
60,Valdez Optometry,(415) 397-0380,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.valdezoptometry.com&website_link_type=website&src_bizid=bDTblSYDVqp_hcUGiGUgew&cachebuster=1594236985&s=a21f98c2601ebe437e8a753a49b1774e67dd419c3df31fbb46f3b5a3ecb9cd76,[],"231 Montgomery StStreet LevelSan Francisco, CA 94104b/t Bush St & Pine StFinancial District",https://www.yelp.com//biz/valdez-optometry-san-francisco-2?osq=Cbd+Stores,30 reviews,4.5 star rating
61,not available,not available,not available,not available,not available,https://www.yelp.com//biz/nice-guys-delivery-mill-valley?osq=Cbd+Stores,not available,not available
62,Real Food Company,Get Directions,https://www.yelp.com//biz_redir?url=https%3A%2F%2Fwww.realfoodco.com&website_link_type=website&src_bizid=E5Q4UGqkSaiiLXN5LYFGaw&cachebuster=1594236992&s=f30d6f2f0848a40bda831460ecb66933838224bd7a059e0b7adf9da42140207b,[94109],"2140 Polk StSan Francisco, CA 94109b/t Broadway & Vallejo StRussian Hill",https://www.yelp.com//biz/real-food-company-san-francisco?osq=Cbd+Stores,220 reviews,not available
63,Cannabis Buyers Club Of Berkeley,(510) 849-4201,https://www.yelp.com//biz_redir?url=http%3A%2F%2Fwww.cbcbberkeley.com&website_link_type=website&src_bizid=MRBooa6fSVQxb5wUfqe4Sg&cachebuster=1594236998&s=a3aa46f6cb1b6d1120a83837f1f45b6e6224771f5892c150c7283f681e1d93c6,[94705],"3033 Shattuck AveBerkeley, CA 94705b/t Emerson St & Essex StSouth Berkeley",https://www.yelp.com//biz/cannabis-buyers-club-of-berkeley-berkeley-4?osq=Cbd+Stores,272 reviews,not available
64,not available,not available,not available,not available,not available,https://www.yelp.com//biz/connected-cannabis-san-francisco-san-francisco?osq=Cbd+Stores,not available,not available
